Sujeto,Canal,Frecuencia,Potencia
sub-001,C3,1.25,4.878988783993267e-10
sub-001,C3,1.875,3.151693082762599e-10
sub-001,C3,2.5,2.1789110513971442e-10
sub-001,C3,3.125,1.7777348129905542e-10
sub-001,C3,3.75,1.2219558592451212e-10
sub-001,C3,4.375,8.511909711514808e-11
sub-001,C3,5.0,7.870922528052197e-11
sub-001,C3,5.625,5.496917216069574e-11
sub-001,C3,6.25,3.9714340090581546e-11
sub-001,C3,6.875,4.3613952548776155e-11
sub-001,C3,7.5,4.7773732841360236e-11
sub-001,C3,8.125,5.0840484774484087e-11
sub-001,C3,8.75,3.643671043314527e-11
sub-001,C3,9.375,3.022029911015488e-11
sub-001,C3,10.0,2.2904982160689718e-11
sub-001,C3,10.625,2.5464878664039416e-11
sub-001,C3,11.25,2.2550187804629472e-11
sub-001,C3,11.875,2.564354874636474e-11
sub-001,C3,12.5,2.204156180760935e-11
sub-001,C3,13.125,2.3116027428278598e-11
sub-001,C3,13.75,2.4753876220186312e-11
sub-001,C3,14.375,1.978639889340963e-11
sub-001,C3,15.0,1.7889919094986756e-11
sub-001,C3,15.625,1.3529768339166213e-11
sub-001,C3,16.25,1.8523003931048932e-11
sub-001,C3,16.875,1.629236165294196e-11
sub-001,C3,17.5,1.27013168358095e-11
sub-001,C3,18.125,1.2024258646753244e-11
sub-001,C3,18.75,1.1564098571301155e-11
sub-001,C3,19.375,1.1016863888119654e-11
sub-001,C3,20.0,1.1269479965648346e-11
sub-001,C3,20.625,9.008377344200637e-12
sub-001,C3,21.25,7.418651796422107e-12
sub-001,C3,21.875,8.020155572260217e-12
sub-001,C3,22.5,5.850958322042646e-12
sub-001,C3,23.125,5.670489130629473e-12
sub-001,C3,23.75,6.796882981181293e-12
sub-001,C3,24.375,7.429308338722178e-12
sub-001,C3,25.0,4.406920746542167e-12
sub-001,C3,25.625,6.3344997205981054e-12
sub-001,C3,26.25,4.690487719365046e-12
sub-001,C3,26.875,3.470528509854744e-12
sub-001,C3,27.5,4.3301369756691045e-12
sub-001,C3,28.125,3.5705739935391007e-12
sub-001,C3,28.75,3.728795135347355e-12
sub-001,C3,29.375,4.0489348541020466e-12
sub-001,C3,30.0,4.1640076089389975e-12
sub-001,C3,30.625,2.8568388753336405e-12
sub-001,C3,31.25,2.7503849911369083e-12
sub-001,C3,31.875,2.207320250120404e-12
sub-001,C3,32.5,2.9820633342707307e-12
sub-001,C3,33.125,2.7454896537744615e-12
sub-001,C3,33.75,2.32915766194538e-12
sub-001,C3,34.375,2.29088389613657e-12
sub-001,C3,35.0,2.6784342803080636e-12
sub-001,C3,35.625,2.7509594131035812e-12
sub-001,C3,36.25,2.639906133234514e-12
sub-001,C3,36.875,2.627672376487556e-12
sub-001,C3,37.5,2.7070762341472803e-12
sub-001,C3,38.125,1.976146946238625e-12
sub-001,C3,38.75,1.8758171163907247e-12
sub-001,C3,39.375,2.140044025493968e-12
sub-001,C3,40.0,2.0376036267421173e-12
sub-001,C4,1.25,3.79376811919348e-10
sub-001,C4,1.875,2.84349957937439e-10
sub-001,C4,2.5,1.753653822422526e-10
sub-001,C4,3.125,1.5054841573711505e-10
sub-001,C4,3.75,9.635617010779803e-11
sub-001,C4,4.375,6.27024988155792e-11
sub-001,C4,5.0,5.5435209213279175e-11
sub-001,C4,5.625,5.1071326161257375e-11
sub-001,C4,6.25,3.039354741260085e-11
sub-001,C4,6.875,3.1910544816263664e-11
sub-001,C4,7.5,3.3343955186596495e-11
sub-001,C4,8.125,3.567010013700645e-11
sub-001,C4,8.75,2.49005714710759e-11
sub-001,C4,9.375,1.935964643327121e-11
sub-001,C4,10.0,1.987035846612406e-11
sub-001,C4,10.625,2.2470010812810065e-11
sub-001,C4,11.25,1.528671421988277e-11
sub-001,C4,11.875,1.9354518878517823e-11
sub-001,C4,12.5,2.612379581425882e-11
sub-001,C4,13.125,2.499525609789757e-11
sub-001,C4,13.75,2.085474025582317e-11
sub-001,C4,14.375,1.6931158042743365e-11
sub-001,C4,15.0,1.1279285253050892e-11
sub-001,C4,15.625,9.68016809451049e-12
sub-001,C4,16.25,1.150380507912032e-11
sub-001,C4,16.875,9.214447847669548e-12
sub-001,C4,17.5,9.848258893839959e-12
sub-001,C4,18.125,1.003445352118106e-11
sub-001,C4,18.75,9.692204299576809e-12
sub-001,C4,19.375,8.14043293228918e-12
sub-001,C4,20.0,7.623459658074694e-12
sub-001,C4,20.625,6.6118230726607374e-12
sub-001,C4,21.25,8.187560091417466e-12
sub-001,C4,21.875,6.050860667160991e-12
sub-001,C4,22.5,6.0784508252247596e-12
sub-001,C4,23.125,5.943727063262423e-12
sub-001,C4,23.75,6.4483258386545925e-12
sub-001,C4,24.375,6.659139568848934e-12
sub-001,C4,25.0,4.082320637371987e-12
sub-001,C4,25.625,4.4242491076769976e-12
sub-001,C4,26.25,4.57491641981439e-12
sub-001,C4,26.875,4.180116320358497e-12
sub-001,C4,27.5,3.729758852173303e-12
sub-001,C4,28.125,3.4937687742937074e-12
sub-001,C4,28.75,2.6061909242459117e-12
sub-001,C4,29.375,3.4723714814530958e-12
sub-001,C4,30.0,3.0600324949206034e-12
sub-001,C4,30.625,2.6143143979789297e-12
sub-001,C4,31.25,2.116232143455905e-12
sub-001,C4,31.875,2.019231468851085e-12
sub-001,C4,32.5,2.297059426503772e-12
sub-001,C4,33.125,2.1882446263899767e-12
