Sujeto,Canal,Frecuencia,Potencia
sub-001,C3,1.25,4.4046328575189513e-10
sub-001,C3,1.875,3.042218696118179e-10
sub-001,C3,2.5,2.3412003541676737e-10
sub-001,C3,3.125,1.713887520936892e-10
sub-001,C3,3.75,1.631036180837787e-10
sub-001,C3,4.375,9.521369348677092e-11
sub-001,C3,5.0,6.760657566150057e-11
sub-001,C3,5.625,6.101643666996015e-11
sub-001,C3,6.25,5.0964251736502136e-11
sub-001,C3,6.875,5.166397445453149e-11
sub-001,C3,7.5,5.251781777612355e-11
sub-001,C3,8.125,5.4740064078334697e-11
sub-001,C3,8.75,4.858800699326585e-11
sub-001,C3,9.375,4.889829787873946e-11
sub-001,C3,10.0,3.9350648470225415e-11
sub-001,C3,10.625,2.8017753311487674e-11
sub-001,C3,11.25,3.2357697609321344e-11
sub-001,C3,11.875,2.8658313831459857e-11
sub-001,C3,12.5,2.582709390800412e-11
sub-001,C3,13.125,2.821186264949799e-11
sub-001,C3,13.75,2.914337333218937e-11
sub-001,C3,14.375,2.7759633211521965e-11
sub-001,C3,15.0,2.0183744228222874e-11
sub-001,C3,15.625,1.7897636679722705e-11
sub-001,C3,16.25,1.3001836125787495e-11
sub-001,C3,16.875,1.578032172796685e-11
sub-001,C3,17.5,1.5822850893991752e-11
sub-001,C3,18.125,1.3129181934128123e-11
sub-001,C3,18.75,1.580335104784276e-11
sub-001,C3,19.375,1.121651923714815e-11
sub-001,C3,20.0,1.0837691040333391e-11
sub-001,C3,20.625,9.621129696250394e-12
sub-001,C3,21.25,9.275031167320193e-12
sub-001,C3,21.875,8.009896476123986e-12
sub-001,C3,22.5,7.282177075407007e-12
sub-001,C3,23.125,5.5905022544983755e-12
sub-001,C3,23.75,6.809158194398559e-12
sub-001,C3,24.375,6.512055139740793e-12
sub-001,C3,25.0,6.432516840746283e-12
sub-001,C3,25.625,6.50201349278988e-12
sub-001,C3,26.25,6.995934078524817e-12
sub-001,C3,26.875,6.472389794742584e-12
sub-001,C3,27.5,5.8158027343490565e-12
sub-001,C3,28.125,4.325733665704927e-12
sub-001,C3,28.75,4.270017357805043e-12
sub-001,C3,29.375,4.224910733076938e-12
sub-001,C3,30.0,3.3808737998709563e-12
sub-001,C3,30.625,4.162540361406077e-12
sub-001,C3,31.25,4.308810613399384e-12
sub-001,C3,31.875,4.108820757634663e-12
sub-001,C3,32.5,3.0875649181424775e-12
sub-001,C3,33.125,2.7840870900823727e-12
sub-001,C3,33.75,3.3646950881388144e-12
sub-001,C3,34.375,2.5272192044659806e-12
sub-001,C3,35.0,2.5690892246116975e-12
sub-001,C3,35.625,3.0261289120772484e-12
sub-001,C3,36.25,3.1634454336116978e-12
sub-001,C3,36.875,2.7925945754662016e-12
sub-001,C3,37.5,2.1728236151707934e-12
sub-001,C3,38.125,2.0182894854304575e-12
sub-001,C3,38.75,2.9785525528665503e-12
sub-001,C3,39.375,2.6063127037623793e-12
sub-001,C3,40.0,2.541817506193796e-12
sub-001,C4,1.25,4.40371148784492e-10
sub-001,C4,1.875,2.586154418479379e-10
sub-001,C4,2.5,1.4587774946737235e-10
sub-001,C4,3.125,1.1885880635667016e-10
sub-001,C4,3.75,1.0114580725159481e-10
sub-001,C4,4.375,6.115269633964497e-11
sub-001,C4,5.0,5.2908455194209744e-11
sub-001,C4,5.625,4.3863525680733206e-11
sub-001,C4,6.25,4.1731785650368983e-11
sub-001,C4,6.875,4.160731965919303e-11
sub-001,C4,7.5,3.8831611337055e-11
sub-001,C4,8.125,3.7031717706990994e-11
sub-001,C4,8.75,3.1925298955771034e-11
sub-001,C4,9.375,3.212726459308961e-11
sub-001,C4,10.0,2.965277767197676e-11
sub-001,C4,10.625,2.4278905775901903e-11
sub-001,C4,11.25,2.5265939237346266e-11
sub-001,C4,11.875,2.231552103894901e-11
sub-001,C4,12.5,2.032757900464882e-11
sub-001,C4,13.125,2.8452708416493767e-11
sub-001,C4,13.75,2.1682320107267003e-11
sub-001,C4,14.375,1.3474698940825654e-11
sub-001,C4,15.0,1.5796631094129393e-11
sub-001,C4,15.625,1.5403441711700085e-11
sub-001,C4,16.25,1.2350137378428761e-11
sub-001,C4,16.875,1.2038778215447527e-11
sub-001,C4,17.5,1.2042313838097289e-11
sub-001,C4,18.125,1.066815099299717e-11
sub-001,C4,18.75,1.3220493446710997e-11
sub-001,C4,19.375,9.95805386492581e-12
sub-001,C4,20.0,1.1197040742381945e-11
sub-001,C4,20.625,9.519776547138971e-12
sub-001,C4,21.25,8.341073457461994e-12
sub-001,C4,21.875,7.904296607071002e-12
sub-001,C4,22.5,5.862597802576254e-12
sub-001,C4,23.125,4.523643937417001e-12
sub-001,C4,23.75,6.136445661861368e-12
sub-001,C4,24.375,6.493893171827726e-12
sub-001,C4,25.0,6.417123395052416e-12
sub-001,C4,25.625,5.856958000704699e-12
sub-001,C4,26.25,5.635839869617574e-12
sub-001,C4,26.875,4.353842808388147e-12
sub-001,C4,27.5,4.256718981635436e-12
sub-001,C4,28.125,4.3883762041937736e-12
sub-001,C4,28.75,3.2004834913858163e-12
sub-001,C4,29.375,2.408349126011195e-12
sub-001,C4,30.0,3.766049994395112e-12
sub-001,C4,30.625,3.3268412360219558e-12
sub-001,C4,31.25,2.67188424814543e-12
sub-001,C4,31.875,2.6725162670984467e-12
sub-001,C4,32.5,2.1031113878833113e-12
sub-001,C4,33.125,2.4117654225698897e-12
sub-001,C4,33.75,2.775304122739369e-12
sub-001,C4,34.375,2.3758227256417058e-12
sub-001,C4,35.0,2.246885932261568e-12
sub-001,C4,35.625,2.8509475990070504e-12
sub-001,C4,36.25,2.618681570067937e-12
sub-001,C4,36.875,1.846162314475974e-12
sub-001,C4,37.5,1.6835423650121044e-12
sub-001,C4,38.125,1.9365613835238724e-12
sub-001,C4,38.75,2.3724158840182625e-12
sub-001,C4,39.375,2.494672125363569e-12
sub-001,C4,40.0,2.5477756371863574e-12
sub-001,Cz,1.25,5.378170861803768e-10
sub-001,Cz,1.875,3.047772081017663e-10
sub-001,Cz,2.5,2.3079500380571536e-10
sub-001,Cz,3.125,1.7318768351518598e-10
sub-001,Cz,3.75,1.6996352687398004e-10
sub-001,Cz,4.375,9.629424400817214e-11
sub-001,Cz,5.0,8.003789313664713e-11
sub-001,Cz,5.625,7.791007612031954e-11
sub-001,Cz,6.25,7.646470903901813e-11
sub-001,Cz,6.875,6.994073371423082e-11
sub-001,Cz,7.5,5.977360003679009e-11
sub-001,Cz,8.125,5.403125701654568e-11
sub-001,Cz,8.75,4.527559177375694e-11
sub-001,Cz,9.375,4.7073532438233505e-11
sub-001,Cz,10.0,4.5797823795007594e-11
sub-001,Cz,10.625,3.17760997673795e-11
sub-001,Cz,11.25,3.2580420962358406e-11
sub-001,Cz,11.875,2.5568974950021694e-11
sub-001,Cz,12.5,2.4489932351378447e-11
sub-001,Cz,13.125,3.366526271750464e-11
sub-001,Cz,13.75,3.0415912011452886e-11
sub-001,Cz,14.375,2.4422270338422633e-11
sub-001,Cz,15.0,1.99518594275938e-11
sub-001,Cz,15.625,1.9364084435241026e-11
sub-001,Cz,16.25,1.418517946374114e-11
sub-001,Cz,16.875,1.5869645576852318e-11
sub-001,Cz,17.5,1.48454040145183e-11
sub-001,Cz,18.125,1.2294696355801058e-11
sub-001,Cz,18.75,1.7303167072097457e-11
sub-001,Cz,19.375,1.2871263857561921e-11
sub-001,Cz,20.0,1.2590497265024467e-11
sub-001,Cz,20.625,9.967623889769793e-12
sub-001,Cz,21.25,9.773441317289005e-12
sub-001,Cz,21.875,9.222149185796139e-12
sub-001,Cz,22.5,8.299465820418908e-12
sub-001,Cz,23.125,6.018390727710906e-12
sub-001,Cz,23.75,8.198103329817036e-12
sub-001,Cz,24.375,1.0152383536011762e-11
sub-001,Cz,25.0,1.2310071174265492e-11
sub-001,Cz,25.625,1.508979025107812e-11
sub-001,Cz,26.25,1.1308146594589834e-11
sub-001,Cz,26.875,7.725571039600578e-12
sub-001,Cz,27.5,9.55744637331825e-12
sub-001,Cz,28.125,7.547866087894787e-12
sub-001,Cz,28.75,5.48892130696362e-12
sub-001,Cz,29.375,4.869914205105493e-12
sub-001,Cz,30.0,4.49812600257001e-12
sub-001,Cz,30.625,5.474679994377933e-12
sub-001,Cz,31.25,5.32265578295099e-12
sub-001,Cz,31.875,4.644691196578949e-12
sub-001,Cz,32.5,3.649585771280443e-12
sub-001,Cz,33.125,3.2132503792717918e-12
sub-001,Cz,33.75,4.218327417533165e-12
sub-001,Cz,34.375,3.2172239499349364e-12
sub-001,Cz,35.0,2.7828185438401435e-12
sub-001,Cz,35.625,3.748210776106724e-12
sub-001,Cz,36.25,3.670321219306473e-12
sub-001,Cz,36.875,2.7204580123948127e-12
sub-001,Cz,37.5,1.999072011170478e-12
