Sujeto,Canal,Frecuencia,Potencia
sub-001,C3,1.25,4.863637332504768e-10
sub-001,C3,1.875,2.977387194358219e-10
sub-001,C3,2.5,2.489245484513402e-10
sub-001,C3,3.125,2.0476380369864543e-10
sub-001,C3,3.75,1.5293339191157259e-10
sub-001,C3,4.375,1.09225453814461e-10
sub-001,C3,5.0,6.43028976434986e-11
sub-001,C3,5.625,6.805552829379144e-11
sub-001,C3,6.25,5.150482142195564e-11
sub-001,C3,6.875,5.155484497773583e-11
sub-001,C3,7.5,5.692313384344486e-11
sub-001,C3,8.125,3.837498221670706e-11
sub-001,C3,8.75,3.28032248933167e-11
sub-001,C3,9.375,2.579966373802765e-11
sub-001,C3,10.0,3.2643636454273745e-11
sub-001,C3,10.625,3.1921595527490635e-11
sub-001,C3,11.25,2.6611532827444375e-11
sub-001,C3,11.875,2.422356872578237e-11
sub-001,C3,12.5,2.930811660695194e-11
sub-001,C3,13.125,2.536431593314729e-11
sub-001,C3,13.75,2.4399610676119476e-11
sub-001,C3,14.375,1.8085961883422565e-11
sub-001,C3,15.0,2.0108443988669945e-11
sub-001,C3,15.625,1.5477000387080794e-11
sub-001,C3,16.25,1.6615649204040172e-11
sub-001,C3,16.875,1.3906261445689105e-11
sub-001,C3,17.5,1.4864182959268187e-11
sub-001,C3,18.125,1.4006657140975664e-11
sub-001,C3,18.75,1.3113246063950498e-11
sub-001,C3,19.375,9.79243527591148e-12
sub-001,C3,20.0,8.696266967929285e-12
sub-001,C3,20.625,8.095891369215195e-12
sub-001,C3,21.25,6.152425936440257e-12
sub-001,C3,21.875,7.488488555050462e-12
sub-001,C3,22.5,6.048733325899092e-12
sub-001,C3,23.125,7.52350786636539e-12
sub-001,C3,23.75,7.125856858809007e-12
sub-001,C3,24.375,5.966854225114959e-12
sub-001,C3,25.0,5.073721948094514e-12
sub-001,C3,25.625,5.290885050833045e-12
sub-001,C3,26.25,5.268006301929451e-12
sub-001,C3,26.875,3.849689238782867e-12
sub-001,C3,27.5,3.4289312592150807e-12
sub-001,C3,28.125,3.3042689350633584e-12
sub-001,C3,28.75,3.988767290868649e-12
sub-001,C3,29.375,4.617585707449945e-12
sub-001,C3,30.0,4.5015862893538045e-12
sub-001,C3,30.625,4.087667523126342e-12
sub-001,C3,31.25,3.2147045697284424e-12
sub-001,C3,31.875,3.220152197065594e-12
sub-001,C3,32.5,3.0338397228561475e-12
sub-001,C3,33.125,3.313714132021508e-12
sub-001,C3,33.75,2.7526349214163383e-12
