Sujeto,Canal,Frecuencia,Potencia
sub-001,C3,1.25,5.810392206453493e-10
sub-001,C3,1.875,3.6655214286614185e-10
sub-001,C3,2.5,2.875457215983195e-10
sub-001,C3,3.125,2.0642351241231912e-10
sub-001,C3,3.75,1.4306744323908594e-10
sub-001,C3,4.375,1.0124524791814713e-10
sub-001,C3,5.0,9.225029890319791e-11
sub-001,C3,5.625,7.314854316876574e-11
sub-001,C3,6.25,3.98074721582229e-11
sub-001,C3,6.875,4.271824469358564e-11
sub-001,C3,7.5,4.777059280173181e-11
sub-001,C3,8.125,3.68837022804578e-11
sub-001,C3,8.75,4.6407890531389015e-11
sub-001,C3,9.375,3.332987201995369e-11
sub-001,C3,10.0,2.3336195194644637e-11
sub-001,C3,10.625,2.7419339898222694e-11
sub-001,C3,11.25,2.518516991737165e-11
sub-001,C3,11.875,4.2418766179158654e-11
sub-001,C3,12.5,3.361089005337134e-11
sub-001,C3,13.125,3.256440856557785e-11
sub-001,C3,13.75,2.7830697248491157e-11
sub-001,C3,14.375,2.458402540568762e-11
sub-001,C3,15.0,2.0358058502707057e-11
sub-001,C3,15.625,2.2476573455704468e-11
sub-001,C3,16.25,1.7468121966433467e-11
sub-001,C3,16.875,1.7552034006624736e-11
sub-001,C3,17.5,1.2785851111341988e-11
sub-001,C3,18.125,1.1621220134313207e-11
sub-001,C3,18.75,1.1265038507310834e-11
sub-001,C3,19.375,1.1792581185499549e-11
sub-001,C3,20.0,1.1277690254467968e-11
sub-001,C3,20.625,9.903503008358916e-12
sub-001,C3,21.25,8.688243133562016e-12
sub-001,C3,21.875,8.989270019085152e-12
sub-001,C3,22.5,8.207075167452871e-12
sub-001,C3,23.125,7.838616287725357e-12
sub-001,C3,23.75,7.605446337229835e-12
sub-001,C3,24.375,7.149157636201897e-12
sub-001,C3,25.0,5.238486894564326e-12
sub-001,C3,25.625,5.787702157719588e-12
sub-001,C3,26.25,5.57838355963235e-12
sub-001,C3,26.875,5.947362923699051e-12
sub-001,C3,27.5,5.865986586672555e-12
sub-001,C3,28.125,5.540043390857855e-12
sub-001,C3,28.75,5.23381751354187e-12
sub-001,C3,29.375,4.6920017756643206e-12
sub-001,C3,30.0,5.655887723649679e-12
sub-001,C3,30.625,4.805232669888441e-12
sub-001,C3,31.25,3.832537469515825e-12
sub-001,C3,31.875,2.2779406955849072e-12
sub-001,C3,32.5,3.3136224705915e-12
sub-001,C3,33.125,2.521930365637736e-12
sub-001,C3,33.75,2.5782650639165242e-12
sub-001,C3,34.375,2.9275717559821722e-12
sub-001,C3,35.0,2.826051287886606e-12
sub-001,C3,35.625,2.0997845406967275e-12
sub-001,C3,36.25,2.1889867925208616e-12
sub-001,C3,36.875,2.1120973844470076e-12
sub-001,C3,37.5,2.108448500950707e-12
sub-001,C3,38.125,2.3518521008591473e-12
sub-001,C3,38.75,2.4484996311131888e-12
sub-001,C3,39.375,2.2568448267734105e-12
sub-001,C3,40.0,2.2641134820920944e-12
sub-001,C4,1.25,5.763668342665161e-10
sub-001,C4,1.875,3.9902415923314945e-10
sub-001,C4,2.5,2.608269503753435e-10
sub-001,C4,3.125,1.5832253749704162e-10
sub-001,C4,3.75,9.844957618370735e-11
sub-001,C4,4.375,7.726157358818589e-11
sub-001,C4,5.0,6.426904983084372e-11
sub-001,C4,5.625,5.633798665375991e-11
sub-001,C4,6.25,3.306323479510438e-11
sub-001,C4,6.875,3.9370510179471606e-11
sub-001,C4,7.5,3.7535853805138625e-11
sub-001,C4,8.125,2.96752155610882e-11
sub-001,C4,8.75,2.926480215821856e-11
sub-001,C4,9.375,2.135907930537639e-11
sub-001,C4,10.0,1.55283810861768e-11
sub-001,C4,10.625,2.2321055478011554e-11
sub-001,C4,11.25,2.0718708359126962e-11
sub-001,C4,11.875,2.5261725270602714e-11
sub-001,C4,12.5,2.088735705467704e-11
sub-001,C4,13.125,2.0162882545867577e-11
sub-001,C4,13.75,1.8676516508159086e-11
sub-001,C4,14.375,1.862421992631152e-11
sub-001,C4,15.0,1.6220941571011023e-11
sub-001,C4,15.625,1.5956638871177626e-11
sub-001,C4,16.25,1.6539221605620464e-11
sub-001,C4,16.875,1.3155377771798339e-11
sub-001,C4,17.5,1.0440646799096696e-11
sub-001,C4,18.125,1.2325470969933701e-11
sub-001,C4,18.75,1.0396938925398345e-11
sub-001,C4,19.375,9.949417534023971e-12
sub-001,C4,20.0,9.337118949712541e-12
sub-001,C4,20.625,9.036919126797266e-12
sub-001,C4,21.25,1.0202153908336595e-11
sub-001,C4,21.875,8.477412374126341e-12
sub-001,C4,22.5,7.200311526196347e-12
sub-001,C4,23.125,6.906724263880635e-12
sub-001,C4,23.75,6.523038909945869e-12
sub-001,C4,24.375,6.919248097407457e-12
sub-001,C4,25.0,5.3159823729442186e-12
sub-001,C4,25.625,4.5575088648841706e-12
sub-001,C4,26.25,4.8565967874256065e-12
sub-001,C4,26.875,3.828968133797861e-12
sub-001,C4,27.5,3.747702109580849e-12
sub-001,C4,28.125,3.806585891632425e-12
sub-001,C4,28.75,3.1091734169460176e-12
sub-001,C4,29.375,3.1547961619764363e-12
sub-001,C4,30.0,2.6045910070825753e-12
sub-001,C4,30.625,2.0167674702154373e-12
sub-001,C4,31.25,2.1743642484184202e-12
sub-001,C4,31.875,2.144314641640894e-12
sub-001,C4,32.5,2.0796858621688313e-12
sub-001,C4,33.125,2.5002355219015164e-12
